RefDes,Name,X (mil),Y (mil),Side,Rotate,Value
R5,RES_0603,56,807,Top,90,120
C3,CAP_0603,643,467,Top,90,100nF
C4,CAP_0603,1131,455,Top,90,100nF
C5,CAP_0805,581,453.1,Top,90,10uF
C6,CAP_0603,658,701,Top,90,10nF
C7,CAP_0603,725,701,Top,90,100nF
C8,CAP_0603,854,873,Top,90,100nF
C9,CAP_0603,793,1010,Top,0,2.2nF
J1,AVRISP-6,849.4,140,Top,0,
JST1,JST_2PIN-THM,121,180,Top,90,
JST-M,JST_2PIN-THM,262,964,Top,0,
M1,ATMEGA328P_TQFP,884,483,Top,0,
M2,MPU-6050,700.1,874,Top,0,
R7,RES_0603,298,455,Top,90,1.2K
Q1,Si2302,141.6,798.1,Top,90,
R1,RES_0603,587,974,Top,0,4.7k
R2,RES_0603,605,1032,Top,0,4.7k
R3,RES_0603,430,599,Top,90,1.2k
R4,RES_0603,271,583,Top,270,10k
US1,US-100,1336,564,Top,270,
USB1,MicroUSB,58,531.1,Top,270,
VR1,AAT3220,1017,881,Top,270,
VR2,AAT3693 LiPo Charger,356,573.4,Top,90,
X1,CSTCE16V,660,289,Top,0,16 MHz
Q3,Si2301 PFET,62.6,942.1,Top,90,
Q4,Si2302 NFET,291.6,798.1,Top,90,
Q5,Si2301 PFET,480.4,864.9,Top,270,
R6,RES_0603,244,699,Top,0,120
C2,CAP_POL_SMD_6MM,410,182,Top,270,100uF
R8,RES_0603,353,409,Top,90,1.2K
D2,LED_SMD_0603,411,428,Top,270,
D3,LED_SMD_0603,466,428,Top,270,
R9,RES_0603,1113,616,Top,270,1.2K
R10,RES_0603,1035,742,Top,270,1.2K
D4,LED_SMD_0603,1125,709,Top,180,
D5,LED_SMD_0603,1125,776,Top,180,
R11,RES_0603,1077,139,Top,180,10k
C1,CAP_0805,916,889.9,Top,270,10uF
